Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Client or book location indicator
Broadway and Vesey St.,40.7114000000000,-74.0086000000000,Manhattan,Lower Manhattan,Broadway and Vesey Street
W. 68th St. Upper West Side Manhattan,40.7762192933307,-73.9839184284210,Manhattan,Upper West Side,West 68th Street
W. 68th St. Upper West Side Manhattan,40.7765117777413,-73.9851200580596,Manhattan,Upper West Side,West 68th Street
Katz's Deli 205 E. Houston St. Manhattan,40.7223220000000,-73.9874330000000,Manhattan,Lower East Side,Katz's Deli - Houston Street at Ludlow St
Washington Square Park West Village Manhattan,40.7311369361184,-73.9971846342086,Manhattan,West Village,Washington Square Park
World Trade Center Lower Manhattan,40.7101335850935,-74.0126770734787,Manhattan,Lower Manhattan,World Trade Center
Manhattan Bridge,40.7082305151118,-73.9911764860153,Manhattan ,Lower Manhattan,Manhattan Bridge
Charlotte St. The Bronx,40.8347879563951,-73.8921225070953,The Bronx,The Bronx,Charlotte Street near 172nd Street
Staten Island Ferry New York Harbor,40.6823303463911,-74.0357494354248,Staten Island,Staten Island,Staten Island Ferry - crossing the upper bay
Steeplechase Park Coney Island Brooklyn,40.5747256627710,-73.9803296327591,Brooklyn,Brooklyn,"Steeplechase Park, Coney Island"
"New York Public Library Fifth Ave. and 41st St. Manhattan
",40.7528651331099,-73.9815366268158,Manhattan,Midtown,"New York Public Library, Fifth ave bt 41st and 42nd"
Verdi Square W. 73rd St.  & Broadway Manhattan,40.7792578185718,-73.9815366268158,Manhattan,Upper West Side,Verdi Square
91st Street Community Garden Riverside Park Manhattan,40.7928238690811,-73.9774167537689,Manhattan,Upper West Side,91st Street Community Garden
